champ_ID,champ_name,Class
266,Aatrox,Fighter
103,Ahri,Mage
84,Akali,Assassin
12,Alistar,Tank
32,Amumu,Tank
34,Anivia,Mage
1,Annie,Mage
22,Ashe,Marksman
136,Aurelion Sol,Mage
268,Azir,Mage
432,Bard,Support
53,Blitzcrank,Tank
63,Brand,Mage
201,Braum,Support
51,Caitlyn,Marksman
164,Camille,Fighter
69,Cassiopeia,Mage
31,Cho'Gath,Tank
42,Corki,Marksman
122,Darius,Fighter
131,Diana,Fighter
36,Dr. Mundo,Marksman
119,Draven,Fighter
245,Ekko,Assassin
60,Elise,Mage
28,Evelynn,Assassin
81,Ezreal,Marksman
9,Fiddlesticks,Mage
114,Fiora,Fighter
105,Fizz,Assassin
3,Galio,Tank
41,Gangplank,Fighter
86,Garen,Fighter
150,Gnar,Fighter
79,Gragas,Fighter
104,Graves,Marksman
120,Hecarim,Fighter
74,Heimerdinger,Mage
420,Illaoi,Fighter
39,Irelia,Fighter
427,Ivern,Support
40,Janna,Support
59,Jarvan IV,Tank
24,Jax,Fighter
126,Jayce,Fighter
202,Jhin,Marksman
222,Jinx,Marksman
429,Kalista,Marksman
43,Karma,Mage
30,Karthus,Mage
38,Kassadin,Assassin
55,Katarina,Assassin
10,Kayle,Fighter
141,Kayn,Fighter
85,Kennen,Mage
121,Kha'Zix,Assassin
203,Kindred,Marksman
240,Kled,Fighter
96,Kog'Maw,Marksman
7,LeBlanc,Assassin
64,Lee Sin,Fighter
89,Leona,Tank
127,Lissandra,Mage
236,Lucian,Marksman
117,Lulu,Support
99,Lux,Mage
54,Malphite,Tank
90,Malzahar,Mage
57,Maokai,Tank
11,Master Yi,Assassin
21,Miss Fortune,Marksman
82,Mordekaiser,Fighter
25,Morgana,Mage
267,Nami,Support
75,Nasus,Fighter
111,Nautilus,Tank
76,Nidalee,Assassin
56,Nocturne,Assassin
20,Nunu,Tank
2,Olaf,Fighter
61,Orianna,Mage
516,Ornn,Tank
80,Pantheon,Fighter
78,Poppy,Tank
133,Quinn,Marksman
497,Rakan,Support
33,Rammus,Tank
421,Rek'Sai,Fighter
58,Renekton,Fighter
107,Rengar,Assassin
92,Riven,Fighter
68,Rumble,Fighter
13,Ryze,Mage
113,Sejuani,Tank
35,Shaco,Assassin
98,Shen,Tank
102,Shyvana,Fighter
27,Singed,Tank
14,Sion,Tank
15,Sivir,Marksman
72,Skarner,Fighter
37,Sona,Support
16,Soraka,Support
50,Swain,Mage
134,Syndra,Mage
223,Tahm Kench,Support
163,Taliyah,Mage
91,Talon,Assassin
44,Taric,Support
17,Teemo,Marksman
412,Thresh,Support
18,Tristana,Marksman
48,Trundle,Fighter
23,Tryndamere,Fighter
4,Twisted Fate,Mage
29,Twitch,Marksman
77,Udyr,Fighter
6,Urgot,Fighter
110,Varus,Marksman
67,Vayne,Marksman
45,Veigar,Mage
161,Vel'Koz,Mage
254,Vi,Fighter
112,Viktor,Mage
8,Vladimir,Mage
106,Volibear,Fighter
19,Warwick,Fighter
62,Wukong,Fighter
498,Xayah,Marksman
101,Xerath,Mage
5,Xin Zhao,Fighter
157,Yasuo,Fighter
83,Yorick,Fighter
154,Zac,Tank
238,Zed,Assassin
115,Ziggs,Mage
26,Zilean,Support
143,Zyra,Mage
