champ_ID,champ_name,role_name,tier,win%,role%,pick%,ban%
266,Aatrox,TOP,God,0.501,0.9037,0.0985,0.208
103,Ahri,MID,A,0.4964,0.9171,0.0537,0.0228
84,Akali,MID,S,0.4846,0.7548,0.0939,0.1586
84,Akali,TOP,B,0.4546,0.2339,0.0295,0.1586
12,Alistar,SUPPORT,B,0.4949,0.948,0.0263,0.0066
32,Amumu,SUPPORT,A,0.5194,0.6441,0.0358,0.0307
32,Amumu,JUNGLE,C,0.5155,0.3352,0.021,0.0307
34,Anivia,MID,A,0.5153,0.7609,0.0192,0.0178
34,Anivia,SUPPORT,C,0.4866,0.169,0.0041,0.0177
1,Annie,MID,B,0.4995,0.756,0.013,0.0049
1,Annie,SUPPORT,D,0.4547,0.1461,0.0025,0.0054
22,Ashe,ADC,A,0.5037,0.6093,0.0769,0.0259
22,Ashe,SUPPORT,B,0.4886,0.3565,0.0429,0.0259
136,Aurelion Sol,MID,B,0.4945,0.8441,0.0074,0.0036
268,Azir,MID,C,0.4521,0.8701,0.0246,0.0073
432,Bard,SUPPORT,A,0.4969,0.9602,0.0318,0.0058
53,Blitzcrank,SUPPORT,S,0.5087,0.9553,0.0695,0.1893
63,Brand,SUPPORT,A,0.5106,0.7728,0.0435,0.0549
63,Brand,MID,B,0.4974,0.1323,0.0078,0.0549
201,Braum,SUPPORT,B,0.4902,0.9671,0.0173,0.0033
51,Caitlyn,ADC,God,0.4998,0.9732,0.1888,0.1815
164,Camille,TOP,S,0.501,0.872,0.0543,0.0249
69,Cassiopeia,MID,B,0.5026,0.7385,0.0164,0.014
69,Cassiopeia,TOP,B,0.5322,0.1297,0.0028,0.014
69,Cassiopeia,ADC,D,0.5101,0.1099,0.0023,0.0143
31,Cho'Gath,MID,B,0.5215,0.198,0.006,0.012
31,Cho'Gath,TOP,B,0.4966,0.6201,0.0254,0.012
42,Corki,MID,B,0.4966,0.8689,0.01,0.0024
122,Darius,TOP,God,0.5043,0.9116,0.0869,0.2339
131,Diana,JUNGLE,God,0.5225,0.7128,0.0734,0.0453
131,Diana,MID,A,0.5155,0.2545,0.0259,0.0453
36,Dr. Mundo,TOP,God,0.5435,0.7554,0.0859,0.1319
36,Dr. Mundo,JUNGLE,B,0.5362,0.1922,0.0201,0.1319
119,Draven,ADC,A,0.5086,0.9507,0.0661,0.1989
245,Ekko,JUNGLE,S,0.5147,0.6832,0.0658,0.0558
245,Ekko,MID,A,0.5114,0.2882,0.028,0.0558
60,Elise,JUNGLE,A,0.5179,0.9373,0.0385,0.0329
28,Evelynn,JUNGLE,S,0.5064,0.9735,0.0483,0.0747
81,Ezreal,ADC,God,0.4864,0.9454,0.184,0.0391
9,Fiddlesticks,JUNGLE,B,0.5215,0.8012,0.0297,0.0191
9,Fiddlesticks,SUPPORT,C,0.5034,0.1363,0.0044,0.0188
114,Fiora,TOP,God,0.5151,0.9695,0.0893,0.2691
105,Fizz,MID,A,0.5106,0.9361,0.0323,0.0419
3,Galio,MID,A,0.5233,0.7736,0.0185,0.0035
3,Galio,SUPPORT,C,0.4994,0.1899,0.0045,0.0036
41,Gangplank,TOP,S,0.4944,0.814,0.0704,0.0503
41,Gangplank,MID,A,0.5249,0.1704,0.0161,0.0503
86,Garen,TOP,S,0.5016,0.8298,0.0485,0.0184
150,Gnar,TOP,B,0.486,0.9385,0.0232,0.0048
79,Gragas,MID,B,0.506,0.1659,0.0075,0.0041
79,Gragas,TOP,C,0.4708,0.4277,0.019,0.0041
79,Gragas,SUPPORT,C,0.4837,0.1061,0.0045,0.0041
79,Gragas,JUNGLE,C,0.5018,0.2893,0.0126,0.0041
104,Graves,JUNGLE,S,0.4919,0.8392,0.0607,0.0521
120,Hecarim,JUNGLE,God,0.4933,0.9826,0.0692,0.2427
74,Heimerdinger,SUPPORT,A,0.5241,0.6372,0.0367,0.0709
74,Heimerdinger,MID,A,0.5371,0.1681,0.0102,0.0709
74,Heimerdinger,TOP,C,0.4977,0.1094,0.0065,0.0709
420,Illaoi,TOP,A,0.5111,0.9057,0.041,0.0731
39,Irelia,TOP,S,0.4983,0.4565,0.0536,0.1348
39,Irelia,MID,A,0.5095,0.5211,0.06,0.1348
427,Ivern,JUNGLE,C,0.4995,0.7442,0.01,0.0047
427,Ivern,SUPPORT,D,0.4606,0.168,0.0022,0.0045
40,Janna,SUPPORT,S,0.5276,0.9803,0.0495,0.0195
59,Jarvan IV,JUNGLE,C,0.5038,0.8341,0.0172,0.0021
24,Jax,TOP,S,0.5105,0.8158,0.0633,0.0805
24,Jax,JUNGLE,D,0.4836,0.1522,0.013,0.0766
126,Jayce,MID,B,0.5164,0.2036,0.0051,0.0029
126,Jayce,TOP,B,0.4907,0.7597,0.0204,0.0029
202,Jhin,ADC,God,0.5141,0.9271,0.1493,0.0387
222,Jinx,ADC,A,0.505,0.979,0.0796,0.0088
429,Kalista,ADC,D,0.4805,0.9158,0.028,0.0088
43,Karma,SUPPORT,S,0.4925,0.8394,0.0758,0.0233
30,Karthus,MID,B,0.519,0.1268,0.0034,0.0129
