game_ID,team_ID,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5
3326086514,1,92,40,69,119,141
3229566029,1,51,122,17,498,19
3327363504,1,117,40,29,16,53
3326856598,1,238,67,516,114,31
3330080762,1,90,64,412,25,31
3287435705,1,117,6,238,122,105
3314215542,1,157,11,141,32,35
3329224025,1,117,19,157,29,18
3318040883,1,154,117,31,126,157
3327786881,1,31,238,141,17,119
3325996400,1,114,40,31,67,157
3284613292,1,45,92,31,141,119
3321570535,1,157,99,164,51,85
3323144943,1,31,412,79,141,420
3329332855,1,238,11,1,122,63
3322311228,1,31,7,80,90,29
3316242660,1,516,122,3,31,8
3330057565,1,141,134,150,16,117
3318940474,1,90,67,31,7,18
3320637674,1,8,29,113,154,31
3295071448,1,141,6,154,157,69
3321629795,1,245,150,31,53,3
3289287394,1,29,119,61,238,51
3315917080,1,96,18,38,117,28
3319260786,1,157,17,245,51,53
3287686351,1,48,119,92,157,51
3327949154,1,141,57,17,117,238
3329435919,1,6,238,105,122,16
3328637035,1,53,18,29,24,75
3261234207,1,154,254,3,134,34
3327393480,1,40,33,113,18,79
3291817645,1,61,157,154,119,83
3323377026,1,31,113,117,141,412
3317736423,1,51,141,18,114,134
3330224197,1,67,122,136,24,157
3308980402,1,117,31,238,67,79
3246968903,1,19,53,63,6,114
3322361630,1,92,122,236,157,53
3293632530,1,114,119,25,29,238
3308987932,1,157,60,19,122,40
3324519930,1,122,40,8,238,90
3326242650,1,516,21,89,23,157
3329416851,1,55,117,412,18,40
3324363232,1,119,91,38,40,57
3322709332,1,157,22,18,80,40
3255360088,1,119,498,92,6,122
3327752527,1,141,31,117,103,64
3311009322,1,141,75,64,35,51
3321629027,1,516,16,53,84,154
3299362032,1,18,114,238,29,119
3325726219,1,74,157,412,18,40
3321237376,1,96,154,126,-1,79
3321305647,1,59,96,516,498,60
3329852632,1,59,99,122,157,67
3329066143,1,1,103,157,122,119
3330150647,1,31,40,154,21,119
3330336673,1,141,61,133,53,154
3265461788,1,154,105,7,92,141
3323194067,1,53,84,119,31,157
3327643001,1,18,141,40,119,134
3325673769,1,38,29,57,16,40
3256026885,1,16,154,114,157,53
3311427599,1,114,40,64,121,21
3282627547,1,31,201,39,37,92
3258796399,1,105,154,67,114,498
3328984872,1,22,57,157,103,120
3325843025,1,40,154,18,238,161
3325613900,1,157,23,51,103,53
3323302726,1,64,31,143,67,29
3280198998,1,154,122,238,21,55
3325567495,1,157,31,67,122,86
3310827613,1,157,164,75,69,238
3287517913,1,57,31,113,202,40
3329315051,1,105,122,80,31,53
3263401061,1,122,412,238,92,23
3327484989,1,150,67,238,51,121
3330473044,1,119,122,11,53,141
3306566368,1,114,18,412,141,117
3234883677,1,122,53,51,11,105
3272819198,1,45,202,122,141,53
3326112788,1,119,35,53,157,28
3329437618,1,117,157,31,238,141
3330152268,1,86,113,24,222,7
3277742106,1,122,19,51,103,238
3319437727,1,33,113,150,51,516
3281365058,1,31,141,119,34,38
3322626012,1,122,31,33,516,75
3325976587,1,57,1,114,143,67
3324255930,1,420,64,67,11,61
3325663188,1,31,16,122,141,117
3327487116,1,63,38,238,40,119
3331653671,1,119,11,31,238,122
3320571127,1,236,19,238,64,141
3326233952,1,202,5,516,141,11
3320571491,1,79,33,238,40,31
3310530097,1,119,51,105,114,164
3330689896,1,80,122,18,22,82
3304939953,1,412,115,54,51,119
3296306866,1,31,105,18,59,141
3323496212,1,141,122,90,105,25
3304030176,1,114,57,238,31,6
3324925505,1,18,8,105,29,122
3225725905,1,105,157,267,114,154
3324239752,1,28,11,53,67,9
3326047211,1,157,114,55,35,141
3322398507,1,18,122,121,55,157
