game_ID,team_ID,t2_champ1_sum1,t2_champ1_sum2,t2_champ2_sum1,t2_champ2_sum2,t2_champ3_sum1,t2_champ3_sum2,t2_champ4_sum1,t2_champ4_sum2,t2_champ5_sum1,t2_champ5_sum2
3326086514,2,11,4,4,7,6,4,14,4,4,3
3229566029,2,4,12,4,14,11,4,4,14,4,7
3327363504,2,4,7,14,4,4,12,4,11,7,4
3326856598,2,14,4,11,4,4,3,4,14,4,7
3330080762,2,3,4,4,12,11,4,4,12,4,7
3287435705,2,4,12,4,7,12,4,4,11,4,14
3314215542,2,4,14,4,7,12,4,21,4,11,4
3329224025,2,4,7,11,4,14,4,4,7,4,12
3318040883,2,7,4,4,12,21,4,4,11,14,4
3327786881,2,4,11,4,7,4,14,3,4,12,4
3325996400,2,4,14,12,4,11,4,7,4,3,4
3284613292,2,4,3,4,12,4,11,7,4,7,4
3321570535,2,4,14,4,3,4,14,4,12,11,4
3323144943,2,4,14,11,4,4,7,4,14,4,14
3329332855,2,3,4,11,4,4,14,4,12,4,7
3322311228,2,4,3,11,4,4,7,4,14,4,12
3316242660,2,4,14,11,4,7,4,4,3,4,12
3330057565,2,4,11,4,3,4,14,4,12,4,7
3318940474,2,4,12,14,4,14,4,11,4,7,4
3320637674,2,4,7,4,14,12,4,4,11,14,4
3295071448,2,4,3,7,4,4,11,14,4,4,14
3321629795,2,11,4,14,4,4,7,4,3,4,12
3289287394,2,12,4,4,11,7,4,3,4,14,4
3315917080,2,7,4,3,4,12,4,4,1,4,11
3319260786,2,4,3,4,12,4,7,4,12,4,11
3287686351,2,4,7,4,12,11,4,7,4,4,3
3327949154,2,12,6,4,21,4,12,4,14,4,11
3329435919,2,4,3,7,4,4,12,4,14,4,11
3328637035,2,4,12,4,14,11,4,4,14,7,4
3261234207,2,4,12,4,7,11,4,4,3,12,4
3327393480,2,4,12,4,11,14,4,4,7,12,4
3291817645,2,4,21,12,4,11,4,7,4,3,4
3323377026,2,3,4,4,12,4,6,11,4,4,7
3317736423,2,14,4,11,4,4,3,7,4,4,6
3330224197,2,4,12,14,4,7,4,11,4,3,4
3308980402,2,21,4,3,4,4,7,4,12,4,11
3246968903,2,11,4,21,4,4,12,7,4,4,3
3322361630,2,7,4,4,12,4,11,4,3,4,14
3293632530,2,7,4,12,4,3,4,4,12,11,4
3308987932,2,12,4,11,4,3,4,7,4,4,14
3324519930,2,4,11,3,4,7,4,12,4,12,4
3326242650,2,3,4,12,4,7,4,4,11,4,14
3329416851,2,14,4,4,14,4,12,11,4,4,7
3324363232,2,4,3,4,3,4,11,7,4,4,12
3322709332,2,14,4,4,7,4,12,4,14,4,11
3255360088,2,11,4,4,7,4,12,4,3,4,12
3327752527,2,4,14,4,7,4,12,4,11,3,4
3311009322,2,4,3,4,7,12,4,12,4,4,11
3321629027,2,12,4,11,4,4,12,4,3,4,7
3299362032,2,12,4,1,4,11,4,4,3,4,7
3325726219,2,4,14,4,11,4,12,14,4,7,4
3321237376,2,4,12,4,7,3,4,11,4,21,4
3321305647,2,4,7,6,4,12,4,11,4,14,4
3329852632,2,4,7,12,4,3,4,4,11,14,4
3329066143,2,14,4,4,7,4,12,4,11,21,4
3330150647,2,4,7,3,4,4,12,11,4,4,21
3330336673,2,4,11,4,7,4,3,12,6,4,12
3265461788,2,12,4,14,4,3,4,11,4,7,4
3323194067,2,7,4,4,11,4,14,3,4,12,4
3327643001,2,4,11,3,4,4,14,14,4,7,4
3325673769,2,4,11,3,4,12,4,4,7,4,12
3256026885,2,4,21,3,4,7,4,4,11,12,4
3311427599,2,4,12,4,21,11,4,3,4,7,4
3282627547,2,4,14,3,4,11,4,4,12,4,7
3258796399,2,7,4,11,4,14,4,12,4,4,14
3328984872,2,21,4,4,3,4,11,7,4,7,4
3325843025,2,4,12,4,3,11,4,14,4,7,4
3325613900,2,4,7,11,4,4,12,14,4,4,3
3323302726,2,11,4,4,14,7,4,12,4,3,4
3280198998,2,4,12,3,4,4,11,4,7,14,4
3325567495,2,12,4,7,4,4,11,4,7,4,3
3310827613,2,12,4,4,11,4,12,4,7,4,3
3287517913,2,7,4,14,4,4,12,14,4,4,11
3329315051,2,4,7,4,3,4,12,4,21,11,4
3263401061,2,4,11,4,3,14,4,7,4,4,12
3327484989,2,7,4,7,4,4,14,4,12,4,11
3330473044,2,7,4,4,3,14,4,11,4,3,4
3306566368,2,4,11,7,4,14,4,4,12,4,6
3234883677,2,7,4,4,21,4,12,11,4,14,4
3272819198,2,14,4,4,3,4,11,12,4,4,7
3326112788,2,4,3,4,7,4,7,4,14,4,11
3329437618,2,12,4,11,4,4,14,4,7,3,4
3330152268,2,4,11,4,12,4,7,4,14,3,14
3277742106,2,4,14,4,3,11,4,4,7,12,4
3319437727,2,4,1,4,7,4,7,4,11,4,14
3281365058,2,4,11,4,7,3,4,4,14,4,12
3322626012,2,4,1,4,3,4,12,4,11,4,7
3325976587,2,4,3,4,7,14,4,12,4,11,4
3324255930,2,4,14,11,4,3,4,4,12,4,7
3325663188,2,4,7,4,14,11,4,12,4,12,4
3327487116,2,12,4,4,12,3,4,4,11,4,7
3331653671,2,4,3,4,14,7,4,4,12,11,4
3320571127,2,4,14,4,12,3,4,11,4,7,4
3326233952,2,4,7,4,11,12,4,4,14,4,3
3320571491,2,4,11,7,4,3,4,4,1,12,4
3310530097,2,4,11,4,14,7,4,4,12,4,3
3330689896,2,14,4,7,4,4,14,4,12,4,11
3304939953,2,4,21,4,7,4,11,3,4,12,4
3296306866,2,4,11,4,21,12,4,3,4,7,4
3323496212,2,4,7,11,4,12,4,3,4,4,12
3304030176,2,4,3,12,4,3,11,14,4,7,4
3324925505,2,4,3,7,4,12,4,4,3,4,11
3225725905,2,4,3,4,7,4,11,12,4,1,4
